team1.win,team1.composition.champion1,team1.composition.champion1_items,team1.composition.champion2,team1.composition.champion2_items,team1.composition.champion3,team1.composition.champion3_items,team1.composition.champion4,team1.composition.champion4_items,team1.composition.champion5,team1.composition.champion5_items,team2.win,team2.composition.champion6,team2.composition.champion6_items,team2.composition.champion7,team2.composition.champion7_items,team2.composition.champion8,team2.composition.champion8_items,team2.composition.champion9,team2.composition.champion9_items,team2.composition.champion10,team2.composition.champion10_items
False,Leona,"[3009, 4643, 3857, 3067, 3076, 8001, 3364]",Malphite,"[3047, 1056, 3075, 3082, 3068, 1029, 3340]",Taliyah,"[4632, 3108, 3157, 3135, 3020, 6655, 3340]",LeeSin,"[3026, 6630, 3053, 3123, 3133, 3047, 3340]",Draven,"[6695, 6673, 1055, 3047, 1037, 3036, 3363]",True,Karma,"[3853, 2065, 2031, 3011, 3158, 0, 3364]",Twitch,"[1055, 6671, 3036, 1037, 3134, 3006, 3363]",Talon,"[6630, 3133, 6695, 3158, 2055, 1036, 3364]",Khazix,"[3071, 3047, 6630, 1036, 1036, 6694, 3364]",Sylas,"[6656, 3157, 1052, 4629, 1082, 3158, 3363]"
False,Maokai,"[3855, 0, 1057, 1011, 3742, 3009, 3364]",Twitch,"[6676, 6671, 3036, 1038, 0, 3006, 3363]",Yasuo,"[3031, 3006, 6673, 3033, 0, 0, 3340]",Nidalee,"[3165, 3157, 1026, 3041, 4636, 3020, 3364]",Vladimir,"[3020, 4629, 3152, 1052, 1056, 2055, 3340]",True,Pyke,"[3855, 3142, 3133, 3117, 6691, 3179, 3364]",Ashe,"[1055, 3006, 1083, 6673, 3091, 0, 3363]",Ryze,"[2420, 2420, 2420, 2420, 2420, 2420, 3363]",Zac,"[2031, 6662, 8001, 2055, 3158, 1028, 3364]",Fiora,"[3508, 6630, 3077, 3111, 1055, 3133, 3340]"
False,Brand,"[1026, 6653, 3853, 4637, 3020, 3916, 3364]",Twitch,"[6676, 6671, 2420, 3031, 3036, 3006, 3363]",Leblanc,"[6655, 0, 3041, 3089, 3135, 3020, 3364]",Sejuani,"[3083, 3110, 0, 3158, 6662, 3075, 3364]",Camille,"[3748, 3026, 3053, 6632, 3047, 3082, 3340]",True,Blitzcrank,"[3860, 2065, 3109, 4643, 3107, 3009, 3364]",Ezreal,"[1029, 3042, 6694, 3074, 6632, 3158, 3363]",Yone,"[3091, 6673, 3111, 3031, 3082, 1029, 3363]",Trundle,"[6632, 3748, 3211, 0, 3111, 3083, 3364]",Pantheon,"[6630, 2421, 3053, 3111, 3153, 1029, 3363]"
False,Zilean,"[3158, 3853, 2055, 0, 1082, 2065, 3364]",Ziggs,"[6653, 2422, 2010, 3070, 2055, 1056, 3340]",Jhin,"[3009, 6671, 3134, 1018, 2055, 1055, 3363]",Kayn,"[1001, 1029, 0, 6630, 0, 0, 3364]",Riven,"[1031, 2031, 6630, 3123, 3158, 3133, 3340]",True,Braum,"[3067, 3047, 3105, 0, 3855, 0, 3364]",Tristana,"[1055, 6670, 2031, 1037, 1001, 0, 3340]",Leblanc,"[1082, 2033, 3802, 1001, 1052, 1026, 3340]",LeeSin,"[6029, 2031, 0, 3044, 3133, 2422, 3340]",Fiora,"[1055, 0, 6630, 0, 1001, 0, 3340]"
False,Zilean,"[3158, 3853, 4643, 1082, 3011, 2065, 3364]",Vayne,"[6673, 3091, 1042, 0, 1055, 3006, 3363]",Syndra,"[3102, 2421, 0, 3020, 6655, 4630, 3363]",Viego,"[3026, 2055, 3153, 3111, 6632, 3053, 3364]",Sion,"[3082, 6662, 3748, 3111, 1033, 3181, 3364]",True,Sona,"[6617, 3853, 6616, 3158, 3067, 0, 3364]",Ashe,"[1055, 6673, 3091, 3035, 0, 3006, 3363]",Kennen,"[1011, 3152, 3157, 3135, 3020, 1026, 3364]",Khazix,"[6691, 6695, 3047, 1036, 1036, 0, 3364]",Malphite,"[2033, 2055, 3047, 3075, 3082, 6662, 3340]"
True,Zyra,"[2055, 0, 0, 3853, 6653, 3020, 3364]",Jhin,"[6671, 2031, 3134, 2055, 3009, 0, 3363]",Kassadin,"[1082, 2031, 3110, 3070, 1001, 4635, 3340]",RekSai,"[0, 6693, 2031, 3111, 1036, 1036, 3364]",Gangplank,"[2033, 3508, 0, 1036, 3009, 1036, 3340]",False,Pantheon,"[2033, 6692, 3071, 2055, 3158, 0, 3363]",Ashe,"[1055, 1057, 6673, 3006, 3051, 0, 3340]",Velkoz,"[3853, 3158, 4636, 3145, 0, 1082, 3364]",Nidalee,"[4636, 2031, 3020, 3041, 1029, 1052, 3364]",Tryndamere,"[1055, 2031, 6672, 3006, 6675, 1036, 3340]"
False,Zyra,"[1026, 3853, 1052, 3020, 1011, 6653, 3364]",Tristana,"[1055, 3046, 3006, 3031, 0, 6672, 3363]",Leblanc,"[3191, 6655, 3020, 3089, 0, 0, 3363]",Khazix,"[6691, 3814, 6695, 3035, 1036, 3158, 3364]",Akali,"[3157, 3152, 3135, 1058, 3041, 3020, 3340]",True,Rakan,"[2065, 3158, 3114, 3853, 2055, 3067, 3364]",Ashe,"[1055, 3046, 6673, 3091, 0, 3006, 3363]",Ekko,"[2033, 3115, 1082, 3152, 3020, 0, 3340]",Shyvana,"[2055, 3102, 2421, 3020, 3115, 4636, 3364]",Sett,"[3053, 6631, 3111, 1029, 0, 0, 3364]"
False,Trundle,"[3857, 3047, 1011, 4005, 3067, 2055, 3364]",Kalista,"[1055, 2031, 3091, 6670, 1053, 3006, 3363]",Velkoz,"[2031, 6655, 1056, 3020, 3145, 1058, 3364]",Khazix,"[6691, 0, 3158, 3134, 1036, 1028, 3364]",Renekton,"[1055, 6630, 3067, 3111, 3053, 0, 3340]",True,Yuumi,"[3853, 6617, 3916, 1082, 0, 0, 3364]",Ezreal,"[0, 3133, 1036, 2422, 3070, 6632, 3363]",Leblanc,"[6655, 3020, 4630, 1026, 0, 2055, 3364]",MasterYi,"[6691, 2031, 1018, 3134, 3006, 0, 3340]",Teemo,"[1056, 3020, 1082, 3115, 4635, 1026, 3363]"
True,Thresh,"[2055, 3860, 8001, 3117, 3067, 3105, 3364]",Kaisa,"[4629, 1058, 0, 3020, 3042, 6655, 3363]",Sylas,"[6656, 3157, 3102, 3916, 3111, 0, 3363]",LeeSin,"[3111, 2055, 3053, 6630, 0, 3071, 3340]",Irelia,"[6609, 3047, 3153, 3091, 3053, 6632, 3364]",False,Braum,"[3860, 3190, 8001, 0, 0, 3009, 3364]",Tristana,"[1018, 6671, 3123, 6676, 3006, 3031, 3363]",Xerath,"[6655, 4628, 1082, 3020, 3089, 3916, 3363]",FiddleSticks,"[3157, 3020, 3165, 4630, 0, 4636, 3330]",Urgot,"[1055, 3123, 3047, 3071, 3748, 6662, 3363]"
True,Thresh,"[3190, 3857, 2055, 3117, 3067, 0, 3364]",Xayah,"[1055, 6672, 3006, 3046, 3036, 0, 3363]",Sylas,"[6656, 3157, 2055, 3108, 3158, 1082, 3340]",Nidalee,"[4636, 2031, 3158, 3157, 1026, 0, 3364]",Darius,"[2031, 6631, 3044, 1037, 3047, 1054, 3340]",False,Nautilus,"[3190, 3860, 2055, 3111, 1011, 3067, 3364]",Cassiopeia,"[3157, 6653, 3040, 1052, 0, 0, 3340]",Qiyana,"[3042, 6693, 2031, 3158, 6695, 0, 3364]",LeeSin,"[6630, 2055, 3053, 3111, 6609, 3133, 3340]",Urgot,"[6631, 0, 3047, 3075, 3748, 0, 3340]"
